version,account-id,interface-id,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,start,end,action,log-status
2,123456789010,eni-1235b8ca0,172.31.16.139,203.0.113.5,43210,443,6,14,3049,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,172.31.16.139,172.31.16.21,20641,22,6,20,4249,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,172.31.16.21,172.31.16.139,22,20641,6,18,3501,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,172.31.9.69,172.31.16.139,49761,3389,6,20,4249,1418530010,1418530070,REJECT,OK
2,123456789010,eni-1235b8ca0,172.31.16.139,172.31.16.21,20444,443,6,15,2132,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,52.95.128.179,172.31.16.139,443,49152,6,8,1678,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,172.31.16.139,8.8.8.8,54321,53,17,1,73,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,8.8.8.8,172.31.16.139,53,54321,17,1,105,1418530010,1418530070,ACCEPT,OK
2,123456789010,eni-1235b8ca0,172.31.16.139,172.31.16.21,20641,8080,6,0,0,1418530010,1418530070,REJECT,OK
2,123456789010,eni-1235b8ca0,10.0.1.5,172.31.16.139,12345,80,6,45,9823,1418530010,1418530070,ACCEPT,OK
